well_id,final_delta_z_from_ps,mean_abs_dz_step,std_dz_step,mean_abs_dxdy_step,curvature_proxy,azimuth_change_proxy,vertical_shape,curvature_shape,trajectory_shape
000d7d20,100.03000000000065,0.026080834419817584,0.012823086063843575,0.9995929114039324,0.005016951606334607,0.22131444301892178,flat,smooth,flat_smooth
00bbac68,176.5,0.029354731415266958,0.018514922135874114,0.9994143493988082,0.005530962872887302,0.30571353855965544,upward,curved,upward_curved
00e12e8b,144.8199999999997,0.034300000000000795,0.021640673776313672,0.9992154822613829,0.005743635166069111,0.19159908748423238,upward,curved,upward_curved
015fe0d2,-176.89999999999964,0.041171129220023264,0.01627620459016959,0.9990355941356882,0.005060715256275673,0.15851653400288557,downward,smooth,downward_smooth
01869cd4,-213.75,0.040944924406047474,0.0257396140841784,0.9989446003797944,0.005516888559673085,0.15122246591263033,downward,curved,downward_curved
01982c1d,160.0,0.040606598984771515,0.025755834332025662,0.9988566123436714,0.005634880815014086,0.09806326172552104,upward,curved,upward_curved
028d7b28,-236.9499999999989,0.040768490293598685,0.030969447150997333,0.9988141558518138,0.0056474485946137265,0.13633240847848238,downward,curved,downward_curved
02e7fe5a,79.11000000000058,0.019297043273936165,0.01735747178560819,0.9997449169535628,0.004679069085326871,0.1411220618176503,flat,smooth,flat_smooth
0390d174,-177.95000000000073,0.04094557823129369,0.02534924570057625,0.9988784443906493,0.005492145013733823,0.1496501685723195,downward,curved,downward_curved
03a935ae,91.84000000000015,0.04292280071813317,0.041310059552277664,0.998615759452763,0.00559301797113574,0.19268638819636807,flat,curved,flat_curved
044af7d1,-136.46000000000095,0.035203629924745704,0.027441192641491398,0.999184919239975,0.005298194571914906,0.1306545555012304,downward,smooth,downward_smooth
0498acab,-137.14999999999964,0.031167396289347175,0.023302699914142553,0.9993363318643173,0.0055012852833505755,0.20705614267159933,downward,curved,downward_curved
052d64df,76.92000000000007,0.03145662847790549,0.016680476580234437,0.9993805325481068,0.00546331769872957,0.14850488823725705,flat,smooth,flat_smooth
05948241,154.1200000000008,0.04003352243424493,0.023255009223200798,0.9989548278119224,0.0054347683270562904,0.1933149204109399,upward,smooth,upward_smooth
059c8f24,-222.67000000000007,0.04374140962122431,0.03689636049095066,0.9986996471470775,0.005341695089276514,0.15643357654395906,downward,smooth,downward_smooth
05a0ee4d,191.4400000000005,0.044265010351966894,0.018810913579204246,0.9988698480380224,0.0054518118528472355,0.16524701587939283,upward,smooth,upward_smooth
060ab2b8,148.28000000000065,0.025528208406584554,0.01901941783506596,0.9995549563926296,0.005364908344823615,0.14270843137654055,upward,smooth,upward_smooth
06df5958,-131.15999999999985,0.03738312428734305,0.017445731884212272,0.9991652073861558,0.0053402188713146115,0.14923814805115143,flat,smooth,flat_smooth
071d7b45,136.10000000000036,0.04327414330218064,0.022011590963434337,0.9988759021016117,0.005498023422761494,0.14898913479967213,upward,curved,upward_curved
0849b4e2,-132.8199999999997,0.02399024566473979,0.014393792524370813,0.9996252482240486,0.005284165035153776,0.13184642673737912,flat,smooth,flat_smooth
084d66f9,-121.55999999999949,0.03253089598352317,0.02362183595695234,0.9992490836677779,0.0051253393059012865,0.1629602815605916,flat,smooth,flat_smooth
08fecf00,-146.5599999999995,0.026294634846581563,0.011463704021111644,0.999605105172242,0.005055849204279654,0.15183776492638024,downward,smooth,downward_smooth
09053135,-176.75,0.030474094141550584,0.01902626275896023,0.9993867012201154,0.005556550968110148,0.20610532030527584,downward,curved,downward_curved
09441b8d,196.39999999999964,0.03597412064880649,0.018893030100436928,0.9991974249811282,0.005472918728117762,0.18525520335924694,upward,smooth,upward_smooth
0955cd6c,-118.31999999999971,0.027435502502887246,0.022465713873974794,0.999505051154902,0.0053409906342693795,0.20131710856365181,flat,smooth,flat_smooth
09ec2ca9,174.6999999999989,0.03067131203263106,0.015374009443416577,0.9994579724646773,0.0052400990733925965,0.18102826898192226,upward,smooth,upward_smooth
0a57a29c,171.66000000000167,0.029494845360824404,0.014899979072652616,0.9994720886159444,0.00540742901913531,0.1560314860202312,upward,smooth,upward_smooth
0bbf5e67,-104.1299999999992,0.02825925063998018,0.024993966817548827,0.9994107631854299,0.005211506304224531,0.16317044113680024,flat,smooth,flat_smooth
0be01c24,-175.59000000000015,0.03705720920413744,0.0209977908118822,0.999108970189666,0.005390492076231676,0.11187903585340742,downward,smooth,downward_smooth
